Timestamp | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:16:16 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:16:16 |  | Van | White | Maruti Suzuki
2025-06-24 19:16:28 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:16:28 | N/A | Truck | White | N/A
2025-06-24 19:19:37 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:19:37 | MH12NU1228 | Hatchback | Grey | Honda
2025-06-24 19:21:02 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:21:02 | 367 | Auto Rickshaw | Black | Unknown
2025-06-24 19:22:14 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:22:14 | N/A | Motorcycle | Black | N/A
2025-06-24 19:23:19 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:19 | N/A | Scooter | Dark Grey | N/A
2025-06-24 19:23:26 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:26 | (Appears Present, Partially Visible) | Scooter | Black | Honda
2025-06-24 19:23:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:29 | 149 | Motorcycle | Black | Activa
2025-06-24 19:23:30 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:30 | N/A | Scooter | Grey | N/A
2025-06-24 19:23:34 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:34 | MA 61 EG 3 | Scooter | Black | 
2025-06-24 19:23:44 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:23:44 | AP28D5820 | Motorcycle | Black | Hero
2025-06-24 19:24:33 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:24:33 |  | Car | Silver | Toyota
2025-06-24 19:25:21 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:25:21 | N/A | Motorcycle | Black | N/A
2025-06-24 19:25:30 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:25:30 | MH.13.MJ.4653 | Motorcycle | Black | Unknown
2025-06-24 19:30:15 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:30:15 |  | Auto Rickshaw | Black | 
2025-06-24 19:30:38 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:30:38 | B | Auto Rickshaw | Black, Yellow | Bajaj
2025-06-24 19:31:27 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:31:27 | MH04KW1134 | SUV | Gray | Hyundai
2025-06-24 19:31:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:31:29 | MH04KW1134 | SUV | Gray | Hyundai
2025-06-24 19:32:30 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:32:30 | MH02DG1950 | Sedan | White | Renault
2025-06-24 19:32:34 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:32:34 |  | Motorcycle/Scooter | White | 
2025-06-24 19:32:52 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:32:52 | MH02DG1950 | Sedan | White | Renault
2025-06-24 19:32:57 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:32:57 | N/A | Car/Scooter | White | N/A
2025-06-24 19:32:58 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:32:58 | N/A | Motorcycle | White | N/A
2025-06-24 19:33:29 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:33:29 | N/A | Scooter | Black and White | N/A
2025-06-24 19:33:35 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:33:35 | N/A | Motorcycle | White | N/A
2025-06-24 19:33:35 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:33:35 | 29 | Scooter | White | Honda
2025-06-24 19:34:10 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:10 | N/A | SUV | Silver | N/A
2025-06-24 19:34:15 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:15 | N/A | SUV | Silver | N/A
2025-06-24 19:34:26 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:26 | MH 12 EN 7564 | Motorcycle | Black | 
2025-06-24 19:34:28 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:28 | MH 12 EN 7564 | Scooter/Bike | Gray | 
2025-06-24 19:34:30 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:30 | N/A | Scooter | Black | N/A
2025-06-24 19:34:37 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:37 | MH 14 DU 2707/754 | Scooter | Silver | Honda
2025-06-24 19:34:38 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:34:38 | KL19 B63787 | Scooter | Gray | Honda
2025-06-24 19:35:53 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:35:53 | MH12VF9934 | Sedan | White | Suzuki
2025-06-24 19:36:57 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:36:57 |  | Auto Rickshaw | White | Bajaj
2025-06-24 19:37:00 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:37:00 |  | Auto Rickshaw | White, Yellow, Silver | Bajaj
2025-06-24 19:37:05 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:37:05 | MH12V B6898 | Auto Rickshaw | Yellow/Black | Bajaj
2025-06-24 19:37:21 | Numberplate | Vehicle Type | Vehicle Color | Vehicle Company
2025-06-24 19:37:21 | N/A | Scooter | Black | N/A
